Fetched: 	Url
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r89a.html
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/start?rev=1396651544
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r91.html
Fetched URL:	https://sli.ics.uci.edu/Projects/GraphicalModels?action=login
Fetched URL:	http://graphmod.ics.uci.edu/uai08/BucketTruckss?action=info
Fetched URL:	http://www.ics.uci.edu/~aregan
Fetched URL:	http://sli.ics.uci.edu/PmWiki/WikiPage
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r103.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=0ac368712e01abb5359512f7c8c933b2
Fetched URL:	http://sli.ics.uci.edu/Ihler-Photos
Fetched URL:	http://www.ics.uci.edu/~dvk/pub/SIGMOD09_dvk.html
Fetched URL:	http://graphmod.ics.uci.edu/uai08/BadContent?action=recall&rev=15
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r167.html
Fetched URL:	http://www.ics.uci.edu/~ziv/diss/intropaper/node2.html
Fetched URL:	http://sli.ics.uci.edu/Classes/2015F-179?action=login
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=02428ec1ddb95796076acc2214cf8cbd
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=df0b430518dcbe31756337c2e6ba2a07
Fetched URL:	https://www.ics.uci.edu/about/search/search_facilities.php
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/start?do=login&sectok=947ab9315b1242b0bd012785bdc1dd4a
Fetched URL:	http://vision.ics.uci.edu/people/37.html
Fetched URL:	http://www.ics.uci.edu/ugrad/degrees/Second_BA_SE.php
Fetched URL:	http://www.ics.uci.edu/~eli/courses/cs153-f09/cs-153-f09.html
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/home?tab_details=view&image=andre2.jpg&ns=&do=media
Fetched URL:	https://sli.ics.uci.edu/Classes-2008F/MLN
Fetched URL:	http://graphmod.ics.uci.edu/uai08/HelpTemplate
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=0d7ccf60c6a688d2635417df30cf7eb5
Fetched URL:	https://sli.ics.uci.edu/Classes-2008F/GroupAttributes?action=login
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=550963838c44c3fec7c49a2286069465
Fetched URL:	http://vision.ics.uci.edu/people/23.html
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/projects?image=aviral.jpg&ns=&tab_details=view&do=media
Fetched URL:	https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=djr
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=48d81c4a446f4986d965c6d1808489f7
Fetched URL:	https://sli.ics.uci.edu/Classes-CS178-Notes/DecisionTrees?action=login
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=bc5f1009d0bba706d9bec9f1f441c9e0
Fetched URL:	http://www.ics.uci.edu/prospective
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=b2e9edf23fd505e791deb95384d0bbbb
Fetched URL:	http://www.ics.uci.edu/community/events/openhouse/research04.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=597541417eb4edd16ed573faf6ad2fb3
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=bc2bd0b1184cf6a55d70aa602d0137dc
